Name,Plate_ID,Location ,Latitude,Longitude,Legacy_Age,Legacy_Age_2s,Legacy_Age_type_and_citation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF_,26,Blanca source?,33.98,-119.73,15.8,0.16,"Pl_Ar/Ar; Weigand et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRI_,26,Santa Rosa Island,33.95,-120.1,18.1,0.68,"whole_rock_Ar/Ar; Luyendyk et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM_,41,El Modeno,33.78,-117.79,11.2,0.4,"whole_rock_Ar/Ar; Luyendyk et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVP_,45,Portuguese Tuff,33.75,-118.35,14.9,2.2,"Pl_K/Ar; Turner, 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ_,41,Newport Bay,33.6,-117.8,15.8,2.6,"Pl_K/Ar; Turner, 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB_,44,Santa Barbara Island,33.46,-119.04,15.5,2,"whole_rock_Ar/Ar; Luyendyk et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC_,45,Santa Catalina Island,33.38,-118.42,17.2,1.2,"whole_rock_Ar/Ar; Luyendyk et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCL_,44,San Clemente Island,32.92,-118.5,15.15,0.3,"whole_rock_Ar/Ar; Luyendyk et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV_,41,Jacumba-Vallecitos,32.75,-116.09,19,2.6,"whole_rock_K-Ar; Gastil et al., 1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB_,41,Rosarito Beach,32.48,-117.1,16.14,0.12,"whole_rock_Ar/Ar; Luyendyk et al., 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
